2;3459;Ada2;15/07/2020;Calmo
2;3459;Ada3;02/02/2018;Simpático
2;3459;Ada4;20/11/2018;Bonito
4;3459;Ada5;17/07/2018;Feio
5;3459;Ada6;12/06/2022;Alto
5;3518;Ada7;31/08/2019;Baixo
3;3518;Ada8;03/12/2019;Loiro
3;3518;Ada9;02/07/2018;Branco
2;3518;Ada10;14/11/2020;Dourado
3;3518;Ada2;29/05/2023
1;3557;Ada12;07/01/2018
2;3557;Ada13;15/11/2021
1;3557;Ada14;14/12/2023
1;3557;Ada15;30/08/2019
5;3557;Ada16;18/09/2018
1;3801;Ada17;27/02/2023
4;3801;Ada18;17/09/2021;Vazio
3;3801;Ada19;24/11/2022;Cheio
1;3801;Ada20;05/12/2023;Divertido
3;3801;Ada21;06/12/2018;Generoso
3;3941;Ada22;22/12/2021;Honesto
1;3941;Ada23;08/10/2021;Longo
4;3941;Ada24;19/06/2020;Novo
5;3941;Ada25;06/06/2018;Educado
5;3941;Ada26;18/02/2021;Rico
4;3725;Ada27;16/02/2019;Magro
2;3725;Ada2;14/04/2020;Cansado
3;3725;Ada29;31/01/2018;Brasileiro
3;3725;Ada30;07/03/2022;Inglês
4;3725;Ada31;05/09/2020;Espanhol
1;3725;Ada32;19/08/2022;Alemão
3;3725;Ada33;24/02/2018;Europeu
3;3725;Ada34;19/12/2020
1;3725;Ada35;20/02/2020
2;3725;Ada36;05/02/2019
1;3725;Ada37;07/09/2020
1;3973;Ada2;10/09/2021
1;3973;Ada39;24/11/2022
1;3973;Ada40;13/01/2020
5;3973;Ada41;17/07/2023;Brancos
4;3973;Ada42;07/07/2020;Dourados
3;3973;Yuk218531;31/12/2023;Cansados
1;3973;Ada44;17/07/2019;Velhos
1;3460;Ada2;01/12/2020;Bons
2;3460;Ada46;01/08/2020;Maus
1;3460;Ada47;08/09/2018;Escuros
1;3460;Ada48;21/08/2022;Maravilhosos
5;3460;Ada49;30/03/2019;Pequenos
3;3460;Ada50;01/01/2022;Vazios
4;3460;Ada51;12/12/2019;Cheios
4;3460;Ada52;17/12/2021;Divertidos
1;9361;Ada2;24/07/2021;Generosos
4;9361;Ada54;06/02/2022;Honestos
5;9361;Ada55;28/07/2018;Longos
3;9361;Ada56;03/06/2022;Novos
1;9361;Ada57;09/11/2019;Educados
5;9361;Ada58;22/01/2018;Ricos
3;9361;Ada59;18/02/2022;Magros
5;9361;Ada60;19/08/2019;Cansados
2;9361;Ada61;20/01/2023;Brasileiros
2;9361;Ada62;02/05/2021;Ingleses
3;9396;Ada2;23/05/2018;Espanhóis
1;9396;Ada64;07/07/2022;Alemães
2;9396;Ada65;01/01/2019;Europeus
5;9396;Ada66;21/08/2022;Calmas
2;9396;Ada67;12/09/2022;Simpáticas
1;9396;Ada68;22/03/2020;Bonitas
1;9396;Ada69;12/10/2023;Feias
4;9396;Ada70;07/10/2023;Altas
3;9396;Ada71;28/12/2020;Baixas
1;9322;Ada2;18/08/2022;Loiras
1;9322;Ada73;20/01/2022;Brancas
4;9322;Ada74;25/11/2018;Douradas
5;9322;Ada75;16/10/2019;Cansadas
4;9322;Ada76;02/04/2022;Velhas
1;9322;Ada77;09/03/2021;Boas
3;9322;Ada78;17/05/2020;Más
3;9322;Ada79;18/07/2020;Escuras
3;9322;Ada80;02/07/2019;Maravilhosas
4;9322;Ada81;10/01/2022;Pequenas
5;9322;Ada82;04/01/2019;Vazias
2;9322;Ada83;02/07/2023;Cheias
5;9322;Ada84;20/08/2018;Divertidas
5;9989;Ada2;23/03/2022;Generosas
1;9989;Ada86;09/07/2022;Honestas
4;9989;Ada87;11/11/2019;Longas
5;9989;Ada88;27/08/2020;Novas
4;9989;Ada89;15/11/2019;Educadas
5;9989;Ada90;23/05/2019;Ricas
3;9989;Ada91;09/11/2022;Magras
